Name of material,Guide No.,ID No.,Toxic Inhalation Hazard,Water Reactive,Chemical Warfare,,Order #
Fluoroanilines,153,2941,,,,,1220
Fluorobenzene,130,2387,,,,,1221
Fluoroboric acid,154,1775,,,,,1222
Fluorophosphoric acid & anhydrous,154,1776,,,,,1223
Fluorosilicates & n.o.s.,151,2856,,,,,1224
Fluorosilicic acid,154,1778,,,,,1225
Fluorosulfonic acid,137,1777,,W,,,1226
Fluorosulphonic acid,137,1777,,W,,,1227
Fluorotoluenes,130,2388,,,,,1228
Formaldehyde & solution (corrosive),153,2209,,,,,1229
Formaldehyde & solution & flammable,132,1198,,,,,1230
Formalin (corrosive),153,2209,,,,,1231
Formalin (flammable),132,1198,,,,,1232
Formic acid,153,1779,,,,,1233
Formic acid & with more than 85% acid,153,1779,,,,,1234
Formic acid & with not less than 5% but less than 10% acid,153,3412,,,,,1235
Formic acid & with not less than 10% but not more than 85% acid,153,3412,,,,,1236
Fuel & aviation & turbine engine,128,1863,,,,,1237
Fuel cell cartridges & containing corrosive substances,153,3477,,,,,1238
Fuel cell cartridges & containing flammable liquids,128,3473,,,,,1239
Fuel cell cartridges & containing hydrogen in metal hydride,115,3479,,,,,1240
Fuel cell cartridges & containing liquefied flammable gas,115,3478,,,,,1241
Fuel cell cartridges & containing water-reactive substances,138,3476,,,,,1242
Fuel cell cartridges contained in equipment & containing corrosive substances,153,3477,,,,,1243
Fuel cell cartridges contained in equipment & containing flammable liquids,128,3473,,,,,1244
Fuel cell cartridges contained in equipment & containing hydrogen in metal hydride,115,3479,,,,,1245
Fuel cell cartridges contained in equipment & containing liquefied flammable gas,115,3478,,,,,1246
Fuel cell cartridges contained in equipment & containing water-reactive substances,138,3476,,,,,1247
Fuel cell cartridges packed with equipment & containing corrosive substances,153,3477,,,,,1248
Fuel cell cartridges packed with equipment & containing flammable liquids,128,3473,,,,,1249
Fuel cell cartridges packed with equipment & containing hydrogen in metal hydride,115,3479,,,,,1250
Fuel cell cartridges packed with equipment & containing liquefied flammable gas,115,3478,,,,,1251
Fuel cell cartridges packed with equipment & containing water-reactive substances,138,3476,,,,,1252
Fuel oil,128,1202,,,,,1253
Fuel oil,128,1993,,,,,1254
Fumaryl chloride,156,1780,,,,,1255
Fumigated cargo transport unit,171,3359,,,,,1256
Furaldehydes,153P,1199,,,,,1257
Furan,128,2389,,,,,1258
Furfuryl alcohol,153,2874,,,,,1259
Furfurylamine,132,2526,,,,,1260
Fusee (railway or highway),133,1325,,,,,1261
Fusel oil,127,1201,,,,,1262
GA,153,— —,,,Z,,1263
Gallium,172,2803,,,,,1264
Gas & refrigerated liquid & flammable & n.o.s.,115,3312,,,,,1265
Gas & refrigerated liquid & n.o.s.,120,3158,,,,,1266
Gas & refrigerated liquid & oxidizing & n.o.s.,122,3311,,,,,1267
Gas cartridges,115,2037,,,,,1268
Gas identification set,123,9035,,,,,1269
Gasohol,128,1203,,,,,1270
Gas oil,128,1202,,,,,1271
Gasoline,128,1203,,,,,1272
Gasoline and ethanol mixture & with more than 10% ethanol,127,3475,,,,,1273
Gas sample & non-pressurized & flammable & n.o.s. & not refrigerated liquid,115,3167,,,,,1274
Gas sample & non-pressurized & poisonous & flammable & n.o.s. & not refrigerated liquid,119,3168,,,,,1275
Gas sample & non-pressurized & poisonous & n.o.s. & not refrigerated liquid,123,3169,,,,,1276
Gas sample & non-pressurized & toxic & flammable & n.o.s. & not refrigerated liquid,119,3168,,,,,1277
Gas sample & non-pressurized & toxic & n.o.s. & not refrigerated liquid,123,3169,,,,,1278
GB,153,— —,,,Z,,1279
GD,153,— —,,,Z,,1280
Genetically modified micro-organisms,171,3245,,,,,1281
Genetically modified organisms,171,3245,,,,,1282
Germane,119,2192,X,,,,1283
Germane & adsorbed,173,3523,X,,,,1284
GF,153,— —,,,Z,,1285
Glycerol alpha-monochlorohydrin,153,2689,,,,,1286
Glycidaldehyde,131P,2622,,,,,1287
Guanidine nitrate,143,1467,,,,,1288
H,153,— —,,,Z,,1289
Hafnium powder & dry,135,2545,,,,,1290
Hafnium powder & wetted with not less than 25% water,170,1326,,,,,1291
Halogenated monomethyldiphenylmethanes & liquid,171,3151,,,,,1292
Halogenated monomethyldiphenylmethanes & solid,171,3152,,,,,1293
Hay & wet & damp or contaminated with oil,133,1327,,,,,1294
Hazardous waste & liquid & n.o.s.,171,3082,,,,,1295
Hazardous waste & solid & n.o.s.,171,3077,,,,,1296
HD,153,— —,,,Z,,1297
Heating oil & light,128,1202,,,,,1298
Helium,120,1046,,,,,1299
Helium & compressed,120,1046,,,,,1300
Helium & refrigerated liquid (cryogenic liquid),120,1963,,,,,1301
Heptafluoropropane,126,3296,,,,,1302
n-Heptaldehyde,129,3056,,,,,1303
Heptanes,128,1206,,,,,1304
n-Heptene,128,2278,,,,,1305
Hexachloroacetone,153,2661,,,,,1306
Hexachlorobenzene,152,2729,,,,,1307
Hexachlorobutadiene,151,2279,,,,,1308
Hexachlorocyclopentadiene,151,2646,X,,,,1309
Hexachlorophene,151,2875,,,,,1310
Hexadecyltrichlorosilane,156,1781,,W,,,1311
Hexadiene,130,2458,,,,,1312
Hexaethyl tetraphosphate,151,1611,,,,,1313
Hexaethyl tetraphosphate and compressed gas mixture,123,1612,X,,,,1314
Hexafluoroacetone,125,2420,X,,,,1315
Hexafluoroacetone hydrate & liquid,151,2552,,,,,1316
Hexafluoroacetone hydrate & solid,151,3436,,,,,1317
Hexafluoroethane,126,2193,,,,,1318
Hexafluoroethane & compressed,126,2193,,,,,1319
Hexafluorophosphoric acid,154,1782,,,,,1320
Hexafluoropropylene,126,1858,,,,,1321
Hexafluoropropylene & compressed,126,1858,,,,,1322
Hexaldehyde,130,1207,,,,,1323
Hexamethylenediamine & solid,153,2280,,,,,1324
Hexamethylenediamine & solution,153,1783,,,,,1325
Hexamethylene diisocyanate,156,2281,,,,,1326
Hexamethyleneimine,132,2493,,,,,1327
Hexamethylenetetramine,133,1328,,,,,1328
Hexanes,128,1208,,,,,1329
Hexanoic acid,153,2829,,,,,1330
Hexanols,129,2282,,,,,1331
1-Hexene,128,2370,,,,,1332
Hexyltrichlorosilane,156,1784,,W,,,1333
HL,153,— —,,,Z,,1334
HN-1,153,— —,,,Z,,1335
HN-2,153,— —,,,Z,,1336
HN-3,153,— —,,,Z,,1337
Hydrazine & anhydrous,132,2029,,,,,1338
Hydrazine aqueous solution & flammable & with more than 37% hydrazine & by mass,132,3484,,,,,1339
Hydrazine & aqueous solution & with more than 37% Hydrazine,153,2030,,,,,1340
Hydrazine & aqueous solution & with not more than 37% Hydrazine,152,3293,,,,,1341
Hydriodic acid,154,1787,,,,,1342
Hydrobromic acid,154,1788,,,,,1343
Hydrocarbon and butadienes mixture & stabilized,116P,1010,,,,,1344
Hydrocarbon gas mixture & compressed & n.o.s.,115,1964,,,,,1345
Hydrocarbon gas mixture & liquefied & n.o.s.,115,1965,,,,,1346
Hydrocarbon gas refills for small devices & with release device,115,3150,,,,,1347
Hydrocarbons & liquid & n.o.s.,128,3295,,,,,1348
Hydrochloric acid,157,1789,,,,,1349
Hydrocyanic acid & aqueous solution & with less than 5% Hydrogen cyanide,154,1613,,,,,1350
Hydrocyanic acid & aqueous solution & with not more than 20% Hydrogen cyanide,154,1613,X,,,,1351
Hydrofluoric acid,157,1790,,,,,1352
Hydrofluoric acid and Sulfuric acid mixture,157,1786,,,,,1353
Hydrofluoric acid and Sulphuric acid mixture,157,1786,,,,,1354
Hydrofluorosilicic acid,154,1778,,,,,1355
Hydrogen,115,1049,,,,,1356
Hydrogen & compressed,115,1049,,,,,1357
Hydrogen in a metal hydride storage system,115,3468,,,,,1358
Hydrogen in a metal hydride storage system contained in equipment,115,3468,,,,,1359
Hydrogen in a metal hydride storage system packed with equipment,115,3468,,,,,1360
Hydrogen & refrigerated liquid (cryogenic liquid),115,1966,,,,,1361
Hydrogen and Methane mixture & compressed,115,2034,,,,,1362
Hydrogen bromide & anhydrous,125,1048,X,,,,1363
Hydrogen chloride & anhydrous,125,1050,X,,,,1364
Hydrogen chloride & refrigerated liquid,125,2186,X,,,,1365
Hydrogen cyanide & anhydrous & stabilized,117P,1051,X,,,,1366
Hydrogen cyanide & aqueous solution & with not more than 20% Hydrogen cyanide,154,1613,X,,,,1367
Hydrogen cyanide & solution in alcohol & with not more than 45% Hydrogen cyanide,131,3294,X,,,,1368
Hydrogen cyanide & stabilized,117P,1051,X,,,,1369
Hydrogen cyanide & stabilized (absorbed),152,1614,X,,,,1370
Hydrogendifluorides & solid & n.o.s.,154,1740,,,,,1371
Hydrogendifluorides & solution & n.o.s.,154,3471,,,,,1372
Hydrogen fluoride & anhydrous,125,1052,X,,,,1373
Hydrogen iodide & anhydrous,125,2197,X,,,,1374
Hydrogen peroxide & aqueous solution & stabilized & with more than 60% Hydrogen peroxide,143,2015,,,,,1375
Hydrogen peroxide & aqueous solution & with not less than 8% but less than 20% Hydrogen peroxide,140,2984,,,,,1376
Hydrogen peroxide & aqueous solution & with not less than 20% but not more than 60% Hydrogen peroxide (stabilized as necessary),140,2014,,,,,1377
Hydrogen peroxide & stabilized,143,2015,,,,,1378
Hydrogen peroxide and Peroxyacetic acid mixture & with acid(s) & water and not more than 5% Peroxyacetic acid & stabilized,140,3149,,,,,1379
Hydrogen selenide & adsorbed,173,3526,X,,,,1380
Hydrogen selenide & anhydrous,117,2202,X,,,,1381
Hydrogen sulfide,117,1053,X,,,,1382
Hydrogen sulphide,117,1053,X,,,,1383
1-Hydroxybenzotriazole & anhydrous & wetted with not less than 20% water,113,3474,,,,,1384
1-Hydroxybenzotriazole & monohydrate,113,3474,,,,,1385
Hydroxylamine sulfate,154,2865,,,,,1386
Hydroxylamine sulphate,154,2865,,,,,1387
Hypochlorite solution,154,1791,,,,,1388
Hypochlorites & inorganic & n.o.s.,140,3212,,,,,1389
3 &3'-Iminodipropylamine,153,2269,,,,,1390
Infectious substance & affecting animals only,158,2900,,,,,1391
Infectious substance & affecting humans,158,2814,,,,,1392
Ink & printer's & flammable,129,1210,,,,,1393
Insecticide gas & flammable & n.o.s.,115,3354,,,,,1394
Insecticide gas & n.o.s.,126,1968,,,,,1395
Insecticide gas & poisonous & flammable & n.o.s.,119,3355,X,,,,1396
Insecticide gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone A),119,3355,X,,,,1397
Insecticide gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone B),119,3355,X,,,,1398
Insecticide gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone C),119,3355,X,,,,1399
Insecticide gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone D),119,3355,X,,,,1400
Insecticide gas & poisonous & n.o.s.,123,1967,X,,,,1401
Insecticide gas & toxic & flammable & n.o.s.,119,3355,X,,,,1402
Insecticide gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone A),119,3355,X,,,,1403
Insecticide gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone B),119,3355,X,,,,1404
Insecticide gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone C),119,3355,X,,,,1405
Insecticide gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone D),119,3355,X,,,,1406
Insecticide gas & toxic & n.o.s.,123,1967,X,,,,1407
Iodine,154,3495,,,,,1408
Iodine monochloride & liquid,157,3498,,,,,1409
Iodine monochloride & solid,157,1792,,,,,1410
Iodine pentafluoride,144,2495,,W,,,1411
2-Iodobutane,129,2390,,,,,1412
Iodomethylpropanes,129,2391,,,,,1413
Iodopropanes,129,2392,,,,,1414
Iron oxide & spent,135,1376,,,,,1415
Iron pentacarbonyl,136,1994,X,,,,1416
Iron sponge & spent,135,1376,,,,,1417
Isobutane,115,1075,,,,,1418
Isobutane,115,1969,,,,,1419
Isobutanol,129,1212,,,,,1420
Isobutyl acetate,129,1213,,,,,1421
Isobutyl acrylate & stabilized,129P,2527,,,,,1422
Isobutyl alcohol,129,1212,,,,,1423
Isobutyl aldehyde,130,2045,,,,,1424
Isobutylamine,132,1214,,,,,1425
Isobutyl chloroformate,155,2742,X,,,,1426
Isobutylene,115,1055,,,,,1427
Isobutylene,115,1075,,,,,1428
Isobutyl formate,129,2393,,,,,1429
Isobutyl isobutyrate,130,2528,,,,,1430
Isobutyl isocyanate,155P,2486,X,,,,1431
Isobutyl methacrylate & stabilized,130P,2283,,,,,1432
Isobutyl propionate,129,2394,,,,,1433
Isobutyraldehyde,130,2045,,,,,1434
Isobutyric acid,132,2529,,,,,1435
Isobutyronitrile,131,2284,,,,,1436
Isobutyryl chloride,132,2395,,W,,,1437
Isocyanate solution & flammable & poisonous & n.o.s.,155,2478,X,,,,1438
Isocyanate solution & flammable & toxic & n.o.s.,155,2478,X,,,,1439
Isocyanate solution & poisonous & flammable & n.o.s.,155,3080,,,,,1440
Isocyanate solution & poisonous & n.o.s.,155,2206,,,,,1441
Isocyanate solution & toxic & flammable & n.o.s.,155,3080,,,,,1442
Isocyanate solution & toxic & n.o.s.,155,2206,,,,,1443
Isocyanates & flammable & poisonous & n.o.s.,155,2478,X,,,,1444
Isocyanates & flammable & toxic & n.o.s.,155,2478,X,,,,1445
Isocyanates & poisonous & flammable & n.o.s.,155,3080,,,,,1446
Isocyanates & poisonous & n.o.s.,155,2206,,,,,1447
Isocyanates & toxic & flammable & n.o.s.,155,3080,,,,,1448
Isocyanates & toxic & n.o.s.,155,2206,,,,,1449
Isocyanatobenzotrifluorides,156,2285,X,,,,1450
Isoheptenes,128,2287,,,,,1451
Isohexenes,128,2288,,,,,1452
Isooctane,128,1262,,,,,1453
Isooctenes,128,1216,,,,,1454
Isopentane,128,1265,,,,,1455
Isopentenes,128,2371,,,,,1456
Isophoronediamine,153,2289,,,,,1457
Isophorone diisocyanate,156,2290,,,,,1458
Isoprene & stabilized,130P,1218,,,,,1459
Isopropanol,129,1219,,,,,1460
Isopropenyl acetate,129P,2403,,,,,1461
Isopropenylbenzene,128,2303,,,,,1462
Isopropyl acetate,129,1220,,,,,1463
Isopropyl acid phosphate,153,1793,,,,,1464
Isopropyl alcohol,129,1219,,,,,1465
Isopropylamine,132,1221,,,,,1466
Isopropylbenzene,130,1918,,,,,1467
Isopropyl butyrate,129,2405,,,,,1468
Isopropyl chloroacetate,155,2947,,,,,1469
Isopropyl chloroformate,155,2407,X,,,,1470
Isopropyl 2-chloropropionate,129,2934,,,,,1471
Isopropyl isobutyrate,127,2406,,,,,1472
Isopropyl isocyanate,155P,2483,X,,,,1473
Isopropyl nitrate,130,1222,,,,,1474
Isopropyl propionate,129,2409,,,,,1475
Isosorbide dinitrate mixture,133,2907,,,,,1476
Isosorbide-5-mononitrate,133,3251,,,,,1477
Kerosene,128,1223,,,,,1478
Ketones & liquid & n.o.s.,127,1224,,,,,1479
Krill meal,133,3497,,,,,1480
Krypton,120,1056,,,,,1481
Krypton & compressed,120,1056,,,,,1482
Krypton & refrigerated liquid (cryogenic liquid),120,1970,,,,,1483
L (Lewisite),153,— —,,,Z,,1484
Lead acetate,151,1616,,,,,1485
Lead arsenates,151,1617,,,,,1486
Lead arsenites,151,1618,,,,,1487
Lead compound & soluble & n.o.s.,151,2291,,,,,1488
Lead cyanide,151,1620,,,,,1489
Lead dioxide,140,1872,,,,,1490
Lead nitrate,141,1469,,,,,1491
Lead perchlorate & solid,141,1470,,,,,1492
Lead perchlorate & solution,141,3408,,,,,1493
Lead phosphite & dibasic,133,2989,,,,,1494
Lead sulfate & with more than 3% free acid,154,1794,,,,,1495
Lead sulphate & with more than 3% free acid,154,1794,,,,,1496
Lewisite,153,— —,,,Z,,1497
Life-saving appliances & not self-inflating,171,3072,,,,,1498
Life-saving appliances & self-inflating,171,2990,,,,,1499
Lighter refills containing flammable gas,115,1057,,,,,1500
Lighters containing flammable gas,115,1057,,,,,1501
Lighters & non-pressurized & containing flammable liquid,128,1057,,,,,1502
Liquefied gas & flammable & n.o.s.,115,3161,,,,,1503
Liquefied gas & n.o.s.,126,3163,,,,,1504
Liquefied gas & oxidizing & n.o.s.,122,3157,,,,,1505
Liquefied gas & poisonous & corrosive & n.o.s.,125,3308,X,,,,1506
Liquefied gas & poisonous & corrosive & n.o.s. (Inhalation Hazard Zone A),125,3308,X,,,,1507
Liquefied gas & poisonous & corrosive & n.o.s. (Inhalation Hazard Zone B),125,3308,X,,,,1508
Liquefied gas & poisonous & corrosive & n.o.s. (Inhalation Hazard Zone C),125,3308,X,,,,1509
Liquefied gas & poisonous & corrosive & n.o.s. (Inhalation Hazard Zone D),125,3308,X,,,,1510
Liquefied gas & poisonous & flammable & corrosive & n.o.s.,119,3309,X,,,,1511
Liquefied gas & poisonous & flammable & corrosive & n.o.s. (Inhalation Hazard Zone A),119,3309,X,,,,1512
Liquefied gas & poisonous & flammable & corrosive & n.o.s. (Inhalation Hazard Zone B),119,3309,X,,,,1513
Liquefied gas & poisonous & flammable & corrosive & n.o.s. (Inhalation Hazard Zone C),119,3309,X,,,,1514
Liquefied gas & poisonous & flammable & corrosive & n.o.s. (Inhalation Hazard Zone D),119,3309,X,,,,1515
Liquefied gas & poisonous & flammable & n.o.s.,119,3160,X,,,,1516
Liquefied gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone A),119,3160,X,,,,1517
Liquefied gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone B),119,3160,X,,,,1518
Liquefied gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone C),119,3160,X,,,,1519
Liquefied gas & poisonous & flammable & n.o.s. (Inhalation Hazard Zone D),119,3160,X,,,,1520
Liquefied gas & poisonous & n.o.s.,123,3162,X,,,,1521
Liquefied gas & poisonous & n.o.s. (Inhalation Hazard Zone A),123,3162,X,,,,1522
Liquefied gas & poisonous & n.o.s. (Inhalation Hazard Zone B),123,3162,X,,,,1523
Liquefied gas & poisonous & n.o.s. (Inhalation Hazard Zone C),123,3162,X,,,,1524
Liquefied gas & poisonous & n.o.s. (Inhalation Hazard Zone D),123,3162,X,,,,1525
Liquefied gas & poisonous & oxidizing & corrosive & n.o.s.,124,3310,X,,,,1526
Liquefied gas & poisonous & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone A),124,3310,X,,,,1527
Liquefied gas & poisonous & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone B),124,3310,X,,,,1528
Liquefied gas & poisonous & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone C),124,3310,X,,,,1529
Liquefied gas & poisonous & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone D),124,3310,X,,,,1530
Liquefied gas & poisonous & oxidizing & n.o.s.,124,3307,X,,,,1531
Liquefied gas & poisonous & oxidizing & n.o.s. (Inhalation Hazard Zone A),124,3307,X,,,,1532
Liquefied gas & poisonous & oxidizing & n.o.s. (Inhalation Hazard Zone B),124,3307,X,,,,1533
Liquefied gas & poisonous & oxidizing & n.o.s. (Inhalation Hazard Zone C),124,3307,X,,,,1534
Liquefied gas & poisonous & oxidizing & n.o.s. (Inhalation Hazard Zone D),124,3307,X,,,,1535
Liquefied gas & toxic & corrosive & n.o.s.,125,3308,X,,,,1536
Liquefied gas & toxic & corrosive & n.o.s. (Inhalation Hazard Zone A),125,3308,X,,,,1537
Liquefied gas & toxic & corrosive & n.o.s. (Inhalation Hazard Zone B),125,3308,X,,,,1538
Liquefied gas & toxic & corrosive & n.o.s. (Inhalation Hazard Zone C),125,3308,X,,,,1539
Liquefied gas & toxic & corrosive & n.o.s. (Inhalation Hazard Zone D),125,3308,X,,,,1540
Liquefied gas & toxic & flammable & corrosive & n.o.s.,119,3309,X,,,,1541
Liquefied gas & toxic & flammable & corrosive & n.o.s. (Inhalation Hazard Zone A),119,3309,X,,,,1542
Liquefied gas & toxic & flammable & corrosive & n.o.s. (Inhalation Hazard Zone B),119,3309,X,,,,1543
Liquefied gas & toxic & flammable & corrosive & n.o.s. (Inhalation Hazard Zone C),119,3309,X,,,,1544
Liquefied gas & toxic & flammable & corrosive & n.o.s. (Inhalation Hazard Zone D),119,3309,X,,,,1545
Liquefied gas & toxic & flammable & n.o.s.,119,3160,X,,,,1546
Liquefied gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone A),119,3160,X,,,,1547
Liquefied gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone B),119,3160,X,,,,1548
Liquefied gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone C),119,3160,X,,,,1549
Liquefied gas & toxic & flammable & n.o.s. (Inhalation Hazard Zone D),119,3160,X,,,,1550
Liquefied gas & toxic & n.o.s.,123,3162,X,,,,1551
Liquefied gas & toxic & n.o.s. (Inhalation Hazard Zone A),123,3162,X,,,,1552
Liquefied gas & toxic & n.o.s. (Inhalation Hazard Zone B),123,3162,X,,,,1553
Liquefied gas & toxic & n.o.s. (Inhalation Hazard Zone C),123,3162,X,,,,1554
Liquefied gas & toxic & n.o.s. (Inhalation Hazard Zone D),123,3162,X,,,,1555
Liquefied gas & toxic & oxidizing & corrosive & n.o.s.,124,3310,X,,,,1556
Liquefied gas & toxic & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone A),124,3310,X,,,,1557
Liquefied gas & toxic & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone B),124,3310,X,,,,1558
Liquefied gas & toxic & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone C),124,3310,X,,,,1559
Liquefied gas & toxic & oxidizing & corrosive & n.o.s. (Inhalation Hazard Zone D),124,3310,X,,,,1560
Liquefied gas & toxic & oxidizing & n.o.s.,124,3307,X,,,,1561
Liquefied gas & toxic & oxidizing & n.o.s. (Inhalation Hazard Zone A),124,3307,X,,,,1562
Liquefied gas & toxic & oxidizing & n.o.s. (Inhalation Hazard Zone B),124,3307,X,,,,1563
Liquefied gas & toxic & oxidizing & n.o.s. (Inhalation Hazard Zone C),124,3307,X,,,,1564
Liquefied gas & toxic & oxidizing & n.o.s. (Inhalation Hazard Zone D),124,3307,X,,,,1565
Liquefied gases & non-flammable & charged with Nitrogen & Carbon dioxide or Air,120,1058,,,,,1566
Liquefied natural gas (cryogenic liquid),115,1972,,,,,1567
Liquefied petroleum gas,115,1075,,,,,1568
Lithium,138,1415,,,,,1569
Lithium aluminum hydride,138,1410,,,,,1570
Lithium aluminum hydride & ethereal,138,1411,,,,,1571
Lithium batteries,138,3090,,,,,1572
Lithium batteries contained in equipment,138,3091,,,,,1573
Lithium batteries installed in cargo transport unit (lithium ion batteries),147,3536,,,,,1574
Lithium batteries installed in cargo transport unit (lithium metal batteries),138,3536,,,,,1575
Lithium batteries packed with equipment,138,3091,,,,,1576
Lithium borohydride,138,1413,,,,,1577
Lithium ferrosilicon,139,2830,,,,,1578
Lithium hydride,138,1414,,,,,1579
Lithium hydride & fused solid,138,2805,,,,,1580
Lithium hydroxide,154,2680,,,,,1581
Lithium hydroxide & solution,154,2679,,,,,1582
Lithium hypochlorite & dry,140,1471,,,,,1583
Lithium hypochlorite mixture,140,1471,,,,,1584
Lithium hypochlorite mixtures & dry,140,1471,,,,,1585
Lithium ion batteries (including lithium ion polymer batteries),147,3480,,,,,1586
Lithium ion batteries contained in equipment (including lithium ion polymer batteries),147,3481,,,,,1587
Lithium ion batteries packed with equipment (including lithium ion polymer batteries),147,3481,,,,,1588
Lithium metal batteries (including lithium alloy batteries),138,3090,,,,,1589
Lithium metal batteries contained in equipment (including lithium alloy batteries),138,3091,,,,,1590
Lithium metal batteries packed with equipment (including lithium alloy batteries),138,3091,,,,,1591
Lithium nitrate,140,2722,,,,,1592
Lithium nitride,139,2806,,W,,,1593
Lithium peroxide,143,1472,,,,,1594
Lithium silicon,138,1417,,,,,1595
LNG (cryogenic liquid),115,1972,,,,,1596
London purple,151,1621,,,,,1597
LPG,115,1075,,,,,1598
Machinery & fuel cell & flammable gas powered,115,3529,,,,,1599
Machinery & fuel cell & flammable liquid powered,128,3528,,,,,1600
Machinery & internal combustion,171,3530,,,,,1601
Machinery & internal combustion & flammable gas powered,115,3529,,,,,1602
Machinery & internal combustion & flammable liquid powered,128,3528,,,,,1603
Magnesium,138,1869,,,,,1604
Magnesium & in pellets & turnings or ribbons,138,1869,,,,,1605
Magnesium alkyls,135,3053,,,,,1606
Magnesium alloys & with more than 50% Magnesium & in pellets & turnings or ribbons,138,1869,,,,,1607
Magnesium alloys powder,138,1418,,,,,1608
Magnesium aluminum phosphide,139,1419,,W,,,1609
Magnesium arsenate,151,1622,,,,,1610
Magnesium bromate,140,1473,,,,,1611
Magnesium chlorate,140,2723,,,,,1612
Magnesium chloride and Chlorate mixture & solid,140,1459,,,,,1613
Magnesium chloride and Chlorate mixture & solution,140,3407,,,,,1614
Magnesium diamide,135,2004,,W,,,1615
Magnesium diphenyl,135,2005,,,,,1616
Magnesium fluorosilicate,151,2853,,,,,1617
Magnesium granules & coated,138,2950,,,,,1618
Magnesium hydride,138,2010,,,,,1619
Magnesium nitrate,140,1474,,,,,1620
Magnesium perchlorate,140,1475,,,,,1621
Magnesium peroxide,140,1476,,,,,1622
Magnesium phosphide,139,2011,,W,,,1623
Magnesium powder,138,1418,,,,,1624
Magnesium silicide,138,2624,,,,,1625
Magnetized material,171,2807,,,,,1626
Maleic anhydride,156,2215,,,,,1627
Maleic anhydride & molten,156,2215,,,,,1628
Malononitrile,153,2647,,,,,1629
Maneb,135,2210,,,,,1630
Maneb & stabilized,135,2968,,,,,1631
Maneb preparation & stabilized,135,2968,,,,,1632
Maneb preparation & with not less than 60% Maneb,135,2210,,,,,1633
Manganese nitrate,140,2724,,,,,1634
Manganese resinate,133,1330,,,,,1635
Matches & fusee,133,2254,,,,,1636
Matches & safety ,133,1944,,,,,1637
"Matches & ""strike anywhere""",133,1331,,,,,1638
"Matches & wax ""vesta""",133,1945,,,,,1639
MD,152,— —,,,Z,,1640
Medical waste & category A & affecting animals only & solid,158,3549,,,,,1641
Medical waste & category A & affecting humans & solid,158,3549,,,,,1642
Medical waste & n.o.s.,158,3291,,,,,1643
Medicine & liquid & flammable & poisonous & n.o.s.,131,3248,,,,,1644
Medicine & liquid & flammable & toxic & n.o.s.,131,3248,,,,,1645
Medicine & liquid & poisonous & n.o.s.,151,1851,,,,,1646
Medicine & liquid & toxic & n.o.s.,151,1851,,,,,1647
Medicine & solid & poisonous & n.o.s.,151,3249,,,,,1648
Medicine & solid & toxic & n.o.s.,151,3249,,,,,1649
Mercaptan mixture & liquid & flammable & n.o.s.,130,3336,,,,,1650
Mercaptan mixture & liquid & flammable & poisonous & n.o.s.,131,1228,,,,,1651
Mercaptan mixture & liquid & flammable & toxic & n.o.s.,131,1228,,,,,1652
Mercaptan mixture & liquid & poisonous & flammable & n.o.s.,131,3071,,,,,1653
Mercaptan mixture & liquid & toxic & flammable & n.o.s.,131,3071,,,,,1654
Mercaptans & liquid & flammable & n.o.s.,130,3336,,,,,1655
Mercaptans & liquid & flammable & poisonous & n.o.s.,131,1228,,,,,1656
Mercaptans & liquid & flammable & toxic & n.o.s.,131,1228,,,,,1657
Mercaptans & liquid & poisonous & flammable & n.o.s.,131,3071,,,,,1658
Mercaptans & liquid & toxic & flammable & n.o.s.,131,3071,,,,,1659
Mercuric arsenate,151,1623,,,,,1660
Mercuric chloride,154,1624,,,,,1661
Mercuric nitrate,141,1625,,,,,1662
Mercuric potassium cyanide,157,1626,,,,,1663
Mercurous nitrate,141,1627,,,,,1664
Mercury,172,2809,,,,,1665
Mercury acetate,151,1629,,,,,1666
Mercury ammonium chloride,151,1630,,,,,1667
Mercury based pesticide & liquid & flammable & poisonous,131,2778,,,,,1668
Mercury based pesticide & liquid & flammable & toxic,131,2778,,,,,1669
Mercury based pesticide & liquid & poisonous,151,3012,,,,,1670
Mercury based pesticide & liquid & poisonous & flammable,131,3011,,,,,1671
